Index,Civilization,Game Introduction,Description,Start Year (F),End Year (F),Timespan (years),Start Year (W),End Year (W),Peak Iconic Year,Civ Release (Year),Peak Iconic Year (Int),Source,Is_Three_Kingdoms,Is_Roman,Iconic Year,Start Year (W) Numeric,End Year (W) Numeric
1,Aztecs,The Conquerors ,"Wage Garland Wars, rule a vast empire from a floating city, and defend it from the Spanish conquistadors with droves of experienced infantry. ",1100.0,1521,421,1300,1521,1519,2000.0,1519,"https://ageofempires.fandom.com/wiki/Aztecs, https://en.wikipedia.org/wiki/Aztecs",False,False,1310.5,1300,1521
2,Bengalis,Dynasties of India ,Navigate the winding rivers and dense jungles of Bengal as you build a thriving economy to fuel unstoppable armies of elephants. ,1200.0,2025,825,1000 BC,2025,17th century AD,2022.0,1700,"((((https://ageofempires.fandom.com/wiki/Bengalis),((((https://en.wikipedia.org/wiki/Bengalis,((((https://en.wikipedia.org/wiki/Bengalis))))))))",False,False,1612.5,-1000,2025
3,Berbers,The African Kingdoms ,Unite the tribes of Northern Africa and set sail for Europe. Can you hold your ground against the scrambled kingdoms of Iberia? ,600.0,1492,892,2000 BC,2025,11th-12th centuries AD,2016.0,1100,"((((https://ageofempires.fandom.com/wiki/Berbers),((((https://en.wikipedia.org/wiki/Berbers,((((https://en.wikipedia.org/wiki/Berbers))))))))",False,False,1046.0,-2000,2025
4,Bohemians,Dawn of the Dukes ,"Represented by the Hussite movement and their distinctive military tactics, including the use of gunpowder weapons.",900.0,1420,520,870,1918,14th century AD,2021.0,1300,"((((https://ageofempires.fandom.com/wiki/Bohemians),((((https://en.wikipedia.org/wiki/Bohemia,((((https://en.wikipedia.org/wiki/Bohemia))))))))",False,False,1160.0,870,1918
5,Britons,The Age of Kings ,"Forge fractured kingdoms into one, defend your island from overseas incursions with disciplined yeomen levies. ",800.0,1485,685,800 BC,2025,9th century AD,1999.0,800,"(((https://ageofempires.fandom.com/wiki/Britons),((https://en.wikipedia.org/wiki/Celtic)_Britons)))",False,False,1142.5,-800,2025
6,Bulgarians,The Last Khans ,Infantry and cavalry civilization representing the First and Second Bulgarian Empires.,634.0,1396,762,681,1908,9th-10th centuries AD,2019.0,850,"(https://www.google.com/search?q=https://ageofempires.fandom.com/wiki/Bulgarians),(https://en.wikipedia.org/wiki/Bulgarians)",False,False,1015.0,681,1908
7,Burmese,Rise of the Rajas ,"Build a kingdom amongst the forests and rivers of Southeast Asia, utilizing battle elephants to dominate their foes.",849.0,1599,750,849,1886,16th century AD,2016.0,1500,"(https://ageofempires.fandom.com/wiki/Burmese), https://en.wikipedia.org/wiki/Myanmar",False,False,1224.0,849,1886
8,Byzantines,The Age of Kings ,"The Eastern Roman Empire, a continuation of Roman glory in the East.",330.0,1453,1123,330,1453,6th century AD,1999.0,500,"((((https://ageofempires.fandom.com/wiki/Byzantines),((((https://en.wikipedia.org/wiki/Byzantine_Empire,((((https://en.wikipedia.org/wiki/Byzantine_Empire))))))))",False,False,891.5,330,1453
9,Celts,The Age of Kings ,"Represent medieval Scottish, Irish, and Welsh people, known for swift infantry and fast-firing siege. ",1000.0,1550,550,800 BC,2025,10th-14th centuries AD,1999.0,1000,"https://ageofempires.fandom.com/wiki/Celts, https://en.wikipedia.org/wiki/Celts",False,False,1275.0,-800,2025
10,Chinese,The Age of Kings ,"One of the oldest and most populous civilizations in the world, with a history of powerful dynasties.",,2025,4025,2000 BC,2025,7th-9th centuries AD,1999.0,600,"https://ageofempires.fandom.com/wiki/Chinese, https://en.wikipedia.org/wiki/History_of_China",False,False,,-2000,2025
11,Cumans,The Last Khans ,A nomadic Turkic people from Central Asia who formed a large confederation.,1000.0,1241,241,1000,1241,12th century AD,2019.0,1100,"https://ageofempires.fandom.com/wiki/Cumans, https://en.wikipedia.org/wiki/Cumans",False,False,1120.5,1000,1241
12,Dravidians,Dynasties of India ,Seize control of the lucrative Indian Ocean trade routes and utilize advanced metallurgy as you build one of the wealthiest sea empires of medieval Asia. ,800.0,1600,800,800,2025,9th-13th centuries AD,2022.0,800,"https://ageofempires.fandom.com/wiki/Dravidians, https://en.wikipedia.org/wiki/Dravidian_peoples",False,False,1200.0,800,2025
13,Ethiopians,The African Kingdoms ,Relive the glory of the once mighty Aksumite empire and rule over the Red Sea. ,100.0,1600,1500,100,2025,4th century AD,2016.0,300,"https://ageofempires.fandom.com/wiki/Ethiopians, https://en.wikipedia.org/wiki/Ethiopia",False,False,850.0,100,2025
14,Franks,The Age of Kings ,"Dominating present-day northern France, Belgium, and western Germany, establishing a powerful Christian kingdom. ",500.0,843,343,500,1190,8th-9th centuries AD,1999.0,700,"https://ageofempires.fandom.com/wiki/Franks, https://en.wikipedia.org/wiki/Franks",False,False,671.5,500,1190
15,Georgians,The Mountain Royals ,Carve out a sturdy kingdom in the shadow of the Caucasus Mountains and use the rugged terrain to your advantage as you repulse countless foreign invasions. ,800.0,1453,653,1008,2025,12th-13th centuries AD,2021.0,1150,"https://ageofempires.fandom.com/wiki/Georgians, https://en.wikipedia.org/wiki/Georgia_(country)",False,False,1126.5,1008,2025
16,Goths,The Age of Kings ,A Germanic people who played a major role in the fall of the Western Roman Empire. ,250.0,711,243,250,6th century AD,4th century AD,1999.0,300,"https://ageofempires.fandom.com/wiki/Goths, https://en.wikipedia.org/wiki/Goths",False,False,480.5,250,6
17,Gujaras,Dynasties of India ,"Ride swift mounts across the fertile fields and open plains of western India and unleash diverse armies of sturdy warriors upon your enemies. The Gurjara unique units are the Shrivamsha Rider, a speedy cavalry unit that can dodge enemy attacks, and the Chakram Thrower, an infantry unit that unleashes volleys of deadly metal discs. ",600.0,1500,900,500,1300,8th-10th centuries AD (height of Gurjara-Pratihara Empire),2022.0,700,"https://ageofempires.fandom.com/wiki/Gujaras, https://en.wikipedia.org/wiki/Gurjars",False,False,1050.0,500,1300
18,Hindustanis,Dynasties of India ,"From the fertile plains of the Ganges to the arid steppes of Central Asia, the vast and diverse armies of Hindustan once dominated the battlefields of the subcontinent. Mount formidable siege weapons and powerful gunpowder units atop mighty war elephants as you expand your domain and construct magnificent monuments to your glory. The Hindustani unique unit is the Ghulam, a sturdy melee cavalry unit that excels at raiding. [https://ageofempires.fandom.com/wiki/Hindustanis]",1000.0,1526,526,1100,1600,16th century AD (establishment of Mughal Empire),2022.0,1500,"https://ageofempires.fandom.com/wiki/Hindustanis, https://en.wikipedia.org/wiki/Hindustanis",False,False,1263.0,1100,1600
19,Huns,The Conquerors ,"From the vast, empty plains of Central Asia, the nomadic Huns thundered into Europe and carved out a fearsome empire through ruthless conquest. Unleash hordes of swift horse archers and devastating siege weaponry upon your hapless foes as you leave a trail of destruction across the ravaged landscape. The Hun unique unit is the Tarkhan, a sturdy cavalry unit that can destroy enemy buildings with ease. [https://ageofempires.fandom.com/wiki/Huns]",370.0,454,84,370,469,5th century AD,2000.0,440,"https://ageofempires.fandom.com/wiki/Huns, https://en.wikipedia.org/wiki/Huns",False,False,412.0,370,469
